FID,recorddate,dam,volume_ML,volume_percentfull
1,2020/01/24 12:59:59,Cardinia,233973,81.54
2,2020/01/24 12:59:59,Greenvale,23041,85.84
3,2020/01/24 12:59:59,O'Shannassy,263,8.42
4,2020/01/24 12:59:59,Silvan,35652,88.14
5,2020/01/24 12:59:59,Yan Yean,20927,69.14
6,2020/01/24 12:59:59,Upper Yarra,87536,43.64
7,2020/01/24 12:59:59,Maroondah,19761,89.09
8,2020/01/24 12:59:59,Tarago,24401,64.93
9,2020/01/24 12:59:59,Thomson,597758,55.96
10,2020/01/24 12:59:59,Sugarloaf,91905,95.48
11,2020/01/23 12:59:59,Cardinia,234247,81.64
12,2020/01/23 12:59:59,Greenvale,22927,85.42
13,2020/01/23 12:59:59,O'Shannassy,302,9.67
14,2020/01/23 12:59:59,Silvan,35529,87.84
15,2020/01/23 12:59:59,Yan Yean,20927,69.14
16,2020/01/23 12:59:59,Upper Yarra,87933,43.83
17,2020/01/23 12:59:59,Maroondah,19686,88.75
18,2020/01/23 12:59:59,Tarago,24409,64.95
19,2020/01/23 12:59:59,Thomson,597495,55.94
20,2020/01/23 12:59:59,Sugarloaf,91609,95.17
21,2020/01/22 12:59:59,Cardinia,234466,81.72
22,2020/01/22 12:59:59,Greenvale,22862,85.18
23,2020/01/22 12:59:59,O'Shannassy,350,11.2
24,2020/01/22 12:59:59,Yan Yean,20879,68.98
25,2020/01/22 12:59:59,Maroondah,19462,87.74
26,2020/01/22 12:59:59,Silvan,35414,87.56
27,2020/01/22 12:59:59,Tarago,24415,64.96
28,2020/01/22 12:59:59,Thomson,596736,55.87
29,2020/01/22 12:59:59,Upper Yarra,88136,43.94
30,2020/01/22 12:59:59,Sugarloaf,91313,94.86
31,2020/01/21 12:59:59,Cardinia,234685,81.79
32,2020/01/21 12:59:59,Greenvale,22797,84.93
33,2020/01/21 12:59:59,O'Shannassy,297,9.51
34,2020/01/21 12:59:59,Yan Yean,20879,68.98
35,2020/01/21 12:59:59,Upper Yarra,88463,44.1
36,2020/01/21 12:59:59,Maroondah,19312,87.07
37,2020/01/21 12:59:59,Silvan,34956,86.42
38,2020/01/21 12:59:59,Tarago,24395,64.91
39,2020/01/21 12:59:59,Thomson,596101,55.81
40,2020/01/21 12:59:59,Sugarloaf,90932,94.47
41,2020/01/20 12:59:59,Cardinia,234958,81.89
42,2020/01/20 12:59:59,Greenvale,22699,84.57
43,2020/01/20 12:59:59,O'Shannassy,422,13.51
