Year,estimated population(June),growth rate p(%),ElectricityUsed(MW),growth rate e(%),volume used(ML),growth rate v(%)
2000,4704065,1.109,92731651,0.000,361818698,-9.242
2001,4763615,1.266,94058916,1.431,360044324,-0.490
2002,4817774,1.137,95021325,1.023,356644904,-0.944
2003,4873809,1.163,97422079,2.527,315858382,-11.436
2004,4927149,1.094,99162072,1.786,356475656,12.859
2005,4989246,1.260,99336354,0.176,376327614,5.569
2006,5061266,1.444,102418606,3.103,320940170,-14.718
2007,5153522,1.823,103668555,1.220,236766651,-26.227
2008,5256375,1.996,104639913,0.937,224653900,-5.116
2009,5371934,2.198,102610778,-1.939,207825292,-7.491
2010,5461101,1.660,102367680,-0.237,262083249,26.107
2011,5537817,1.405,100283720,-2.036,382067630,45.781
2012,5651091,2.045,99386953,-0.894,476171283,24.630
2013,5772669,2.151,96566229,-2.838,500781061,5.168
2014,5894917,2.118,93283665,-3.399,506958943,1.234
2015,6022322,2.161,91008916,-2.439,474359556,-6.430
2016,6173172,2.505,89295153,-1.883,432701291,-8.782
2017,6321606,2.405,86835829,-2.754,439496672,1.570
2018,6462019,2.221,86731754,-0.120,412721283,-6.092
2019,6596880,2.087,86095804,-0.733,376717279,-8.724
2020,6696670,1.513,83710045,-2.771,66584953,-82.325
