Gas_Date,System Demand,GPG,Total Demand
01/02/2007,389.130,110.606,499.736
02/02/2007,355.908,118.487,474.395
03/02/2007,299.774,135.297,435.071
04/02/2007,296.842,98.119,394.961
05/02/2007,353.543,142.261,495.804
06/02/2007,378.855,120.399,499.254
07/02/2007,391.147,116.883,508.030
08/02/2007,372.652,119.772,492.424
09/02/2007,348.709,116.962,465.671
10/02/2007,310.348,0.003,310.351
11/02/2007,308.894,0.049,308.943
12/02/2007,360.801,97.349,458.150
13/02/2007,361.910,116.502,478.412
14/02/2007,360.127,116.094,476.221
15/02/2007,342.138,127.722,469.860
16/02/2007,322.585,161.146,483.731
17/02/2007,272.332,200.336,472.668
18/02/2007,275.773,162.170,437.943
19/02/2007,346.014,142.149,488.163
20/02/2007,353.637,121.018,474.655
21/02/2007,353.172,123.684,476.856
22/02/2007,356.723,119.555,476.278
23/02/2007,344.160,117.965,462.125
24/02/2007,302.878,38.990,341.868
25/02/2007,311.647,0.001,311.648
26/02/2007,362.725,98.382,461.107
27/02/2007,360.815,113.083,473.898
28/02/2007,360.723,101.033,461.756
01/03/2007,368.932,111.625,480.557
02/03/2007,346.090,111.930,458.020
03/03/2007,290.562,141.225,431.787
04/03/2007,308.603,109.195,417.798
05/03/2007,394.403,75.466,469.869
06/03/2007,390.650,72.393,463.043
07/03/2007,377.555,82.345,459.900
08/03/2007,395.448,92.998,488.446
09/03/2007,372.371,112.111,484.482
10/03/2007,307.188,58.622,365.810
11/03/2007,307.065,48.224,355.289
12/03/2007,361.384,100.047,461.431
13/03/2007,403.105,105.919,509.024
14/03/2007,385.077,93.248,478.325
15/03/2007,356.385,123.868,480.253
16/03/2007,360.537,127.192,487.729
17/03/2007,332.921,133.480,466.401
18/03/2007,340.190,40.373,380.563
19/03/2007,387.986,29.425,417.411
20/03/2007,383.179,59.752,442.931
21/03/2007,360.728,71.730,432.458
22/03/2007,340.907,89.535,430.442
23/03/2007,318.459,141.449,459.908
24/03/2007,355.986,130.475,486.461
25/03/2007,381.672,31.965,413.637
26/03/2007,416.806,41.665,458.471
27/03/2007,380.274,37.307,417.581
28/03/2007,394.580,46.428,441.008
29/03/2007,443.006,40.631,483.637
30/03/2007,505.272,66.293,571.565
31/03/2007,389.001,116.326,505.327
01/04/2007,338.764,116.494,455.258
02/04/2007,413.315,181.655,594.970
03/04/2007,469.595,183.842,653.437
04/04/2007,454.506,196.921,651.427
05/04/2007,455.260,191.281,646.541
06/04/2007,370.930,95.016,465.946
07/04/2007,362.889,76.560,439.449
08/04/2007,325.333,68.833,394.166
09/04/2007,329.746,84.471,414.217
10/04/2007,385.499,186.294,571.793
11/04/2007,416.050,162.446,578.496
12/04/2007,441.477,162.951,604.428
13/04/2007,417.136,220.451,637.587
14/04/2007,338.495,206.419,544.914
15/04/2007,346.922,166.751,513.673
16/04/2007,459.949,221.005,680.954
17/04/2007,438.432,164.637,603.069
18/04/2007,420.594,129.805,550.399
19/04/2007,445.679,188.978,634.657
20/04/2007,424.720,180.954,605.674
21/04/2007,428.062,118.655,546.717
22/04/2007,392.755,55.468,448.223
23/04/2007,470.878,210.375,681.253
24/04/2007,484.806,218.252,703.058
25/04/2007,442.221,170.022,612.243
26/04/2007,512.445,201.467,713.912
27/04/2007,466.547,233.699,700.246
28/04/2007,386.746,164.829,551.575
29/04/2007,411.684,126.407,538.091
30/04/2007,466.620,168.899,635.519
01/05/2007,458.153,191.051,649.204
02/05/2007,457.833,169.571,627.404
03/05/2007,514.578,174.549,689.127
04/05/2007,491.224,147.116,638.340
05/05/2007,400.595,125.757,526.352
06/05/2007,412.784,85.622,498.406
07/05/2007,472.743,154.485,627.228
08/05/2007,513.715,172.867,686.582
09/05/2007,598.761,167.843,766.604
10/05/2007,626.501,179.534,806.035
11/05/2007,562.489,210.140,772.629
12/05/2007,532.186,265.894,798.080
13/05/2007,450.001,159.506,609.507
14/05/2007,488.032,172.979,661.011
15/05/2007,499.281,175.613,674.894
16/05/2007,451.653,169.959,621.612
17/05/2007,533.279,167.155,700.434
18/05/2007,583.749,155.422,739.171
19/05/2007,581.645,36.041,617.686
20/05/2007,595.414,7.398,602.812
21/05/2007,756.104,146.279,902.383
22/05/2007,800.657,147.850,948.507
23/05/2007,675.681,148.140,823.821
24/05/2007,615.471,174.275,789.746
25/05/2007,575.152,157.694,732.846
26/05/2007,539.472,27.724,567.196
27/05/2007,545.893,100.315,646.208
28/05/2007,561.864,136.933,698.797
29/05/2007,613.838,135.782,749.620
30/05/2007,844.212,144.531,988.743
31/05/2007,870.855,171.830,"1,042.685"
01/06/2007,824.415,128.968,953.383
02/06/2007,743.021,74.502,817.523
03/06/2007,750.362,94.181,844.543
04/06/2007,868.052,130.816,998.868
05/06/2007,871.661,136.188,"1,007.849"
06/06/2007,814.009,138.365,952.374
07/06/2007,825.604,144.393,969.997
08/06/2007,822.301,197.131,"1,019.432"
09/06/2007,701.611,186.207,887.818
10/06/2007,721.973,154.774,876.747
11/06/2007,828.742,136.362,965.104
12/06/2007,947.196,195.978,"1,143.174"
13/06/2007,989.061,172.054,"1,161.115"
14/06/2007,"1,040.255",157.025,"1,197.280"
15/06/2007,"1,017.982",163.426,"1,181.408"
16/06/2007,876.648,118.037,994.685
17/06/2007,874.797,104.294,979.091
18/06/2007,"1,072.856",114.905,"1,187.761"
19/06/2007,"1,056.356",103.210,"1,159.566"
20/06/2007,"1,044.303",147.205,"1,191.508"
21/06/2007,"1,036.263",138.629,"1,174.892"
22/06/2007,994.326,137.017,"1,131.343"
23/06/2007,889.473,162.340,"1,051.813"
24/06/2007,960.172,146.105,"1,106.277"
25/06/2007,"1,018.199",158.588,"1,176.787"
26/06/2007,968.215,176.898,"1,145.113"
27/06/2007,"1,016.844",160.675,"1,177.519"
28/06/2007,858.506,197.935,"1,056.441"
29/06/2007,923.024,214.148,"1,137.172"
30/06/2007,839.850,144.694,984.544
01/07/2007,805.258,131.397,936.655
02/07/2007,920.097,154.973,"1,075.070"
03/07/2007,806.957,153.207,960.164
04/07/2007,848.451,103.104,951.555
05/07/2007,977.267,63.087,"1,040.354"
06/07/2007,"1,069.901",71.000,"1,140.901"
07/07/2007,995.613,19.878,"1,015.491"
08/07/2007,865.626,50.536,916.162
09/07/2007,932.884,122.385,"1,055.269"
10/07/2007,"1,038.638",125.406,"1,164.044"
11/07/2007,996.498,114.661,"1,111.159"
12/07/2007,961.110,105.994,"1,067.104"
13/07/2007,"1,012.410",84.063,"1,096.473"
14/07/2007,947.092,52.149,999.241
15/07/2007,964.894,65.901,"1,030.795"
16/07/2007,"1,038.232",74.734,"1,112.966"
17/07/2007,"1,257.510",24.477,"1,281.987"
18/07/2007,"1,177.370",5.013,"1,182.383"
19/07/2007,"1,053.255",45.817,"1,099.072"
20/07/2007,"1,039.933",63.525,"1,103.458"
