Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,Metlink_Stop_ID,VicgridX,VicgridY,Boardings,Alightings
75,City(La Trobe/Spencer St) to Vermont South,Down,119-La Trobe St/Spencer St (Melbourne City),0000,3251,18191,2495721.632,2409768.571,46.73646069,
75,City(La Trobe/Spencer St) to Vermont South,Down,119-La Trobe St/Spencer St (Melbourne City),0000,3251,18191,2495721.632,2409768.571,137.0936174,
75,City(La Trobe/Spencer St) to Vermont South,Down,119-La Trobe St/Spencer St (Melbourne City),0000,3251,18191,2495721.632,2409768.571,186.9458408,
1,East Coburg to South Melbourne Beach,Up,135-Bell St/Nicholson St (Coburg),0001,1201,19368,2498080.919,2417568.07,216.6711733,
1,East Coburg to South Melbourne Beach,Up,135-Bell St/Nicholson St (Coburg),0001,1201,19368,2498080.919,2417568.07,247.1405518,
1,East Coburg to South Melbourne Beach,Up,135-Bell St/Nicholson St (Coburg),0001,1201,19368,2498080.919,2417568.07,179.4308114,
1,South Melbourne Beach to Coburg,Down,32-Beaconsfield Pde/Victoria Ave (Albert Park),0001,1242,18663,2495481.536,2405982.644,111.8177953,
1,South Melbourne Beach to Coburg,Down,32-Beaconsfield Pde/Victoria Ave (Albert Park),0001,1242,18663,2495481.536,2405982.644,131.5503502,
1,South Melbourne Beach to Coburg,Down,32-Beaconsfield Pde/Victoria Ave (Albert Park),0001,1242,18663,2495481.536,2405982.644,49.33138227,
109,Box Hill to Port Melbourne,Up,58-Box Hill Central/Whitehorse Rd (Box Hill),0001,1758,19781,2510772.189,2409231.223,646.567543,
109,Box Hill to Port Melbourne,Up,58-Box Hill Central/Whitehorse Rd (Box Hill),0001,1758,19781,2510772.189,2409231.223,706.3047791,
109,Box Hill to Port Melbourne,Up,58-Box Hill Central/Whitehorse Rd (Box Hill),0001,1758,19781,2510772.189,2409231.223,470.8698578,
109,Port Melbourne to Box Hill,Down,129-Beacon Cove/Light Rail (Port Melbourne),0001,1712,19725,2494092.313,2406696.324,604.7401791,
109,Port Melbourne to Box Hill,Down,129-Beacon Cove/Light Rail (Port Melbourne),0001,1712,19725,2494092.313,2406696.324,513.112875,
109,Port Melbourne to Box Hill,Down,129-Beacon Cove/Light Rail (Port Melbourne),0001,1712,19725,2494092.313,2406696.324,168.5942287,
11,Preston to Victoria Harbour (Docklands),Up,47-West Preston/Gilbert Rd (Preston),0001,1387,4484,2499258.586,2419082.075,8.463717461,
11,Victoria Harbour (Docklands) to Preston,Down,D15-Batmans Hill Dr/Collins St (Docklands),0001,3399,43476,2495639.091,2408996.056,369.9853516,
112,Preston to St Kilda,Up,47-West Preston/Gilbert Rd (Preston),0001,1387,4484,2499258.586,2419082.075,401.0441794,
112,Preston to St Kilda,Up,47-West Preston/Gilbert Rd (Preston),0001,1387,4484,2499258.586,2419082.075,170.9368656,
112,Preston to St Kilda,Up,47-West Preston/Gilbert Rd (Preston),0001,1387,4484,2499258.586,2419082.075,98.61742163,
112,St Kilda to Preston,Down,143-Fitzroy St/Park St (St Kilda),0001,1410,4135,2497740.739,2404459.121,125.2554684,
112,St Kilda to Preston,Down,143-Fitzroy St/Park St (St Kilda),0001,1410,4135,2497740.739,2404459.121,215.1824656,
112,St Kilda to Preston,Down,143-Fitzroy St/Park St (St Kilda),0001,1410,4135,2497740.739,2404459.121,179.8539982,
