,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Components of population change - details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data for Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year ending 30 June,Population at Start of Period,Births,Deaths,Natural Increase,Overseas Migration Arrivals,Overseas Migration Departures,Net Overseas Migration,Interstate Migration Arrivals,Interstate Migration Departures,Net Interstate Migration,Net Migration,Population at End of Period,Change in Population (incl Intercensal difference in 2015-16),Annual Population Growth Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"6,022,322","78,953","38,828","40,125","140,218","68,003","72,215","84,236","66,597","17,639","89,854","6,173,172","150,850",2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"6,173,172","78,295","39,297","38,998","159,626","68,383","91,243","86,650","68,457","18,193","109,436","6,321,606","148,434",2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"6,321,606","78,820","39,120","39,700","160,704","75,651","85,053","88,561","74,245","14,316","99,369","6,460,675","139,069",2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,"6,460,675","81,632","40,351","41,281","161,045","77,421","83,624","87,455","77,455","10,000","93,624","6,595,579","134,904",2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"6,595,579","83,590","41,266","42,324","158,597","74,875","83,722","86,519","78,519","8,000","91,722","6,729,626","134,046",2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,"6,729,626","85,367","41,990","43,377","157,518","76,597","80,922","87,520","79,520","8,000","88,922","6,861,925","132,299",2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
