Year,estimated population(June),growth rate p(%),gas used,growth rate g(%)
2007,5153522,1.823,223725.922,0.000
2008,5256375,1.996,235624.312,5.318
2009,5371934,2.198,220908.172,-6.246
2010,5461101,1.660,217527.109,-1.531
2011,5537817,1.405,211612.719,-2.719
2012,5651091,2.045,209525.922,-0.986
2013,5772669,2.151,198904.000,-5.070
2014,5894917,2.118,192904.562,-3.016
2015,6022322,2.161,205451.750,6.504
2016,6173172,2.505,201483.859,-1.931
2017,6321606,2.405,217081.594,7.741
2018,6462019,2.221,203026.016,-6.475
2019,6596880,2.087,216640.812,6.706
2020,6696670,1.513,208233.578,-3.881
