Year,EstimatedResidentPopulationInJune,growth rate(%)
1971,3601352,0.0
1972,3661254,1.663
1973,3707653,1.267
1974,3755726,1.297
1975,3787441,0.844
1976,3810426,0.607
1977,3837364,0.707
1978,3863759,0.688
1979,3886406,0.586
1980,3914303,0.718
1981,3946917,0.833
1982,3992870,1.164
1983,4035702,1.073
1984,4076492,1.011
1985,4120068,1.069
1986,4160856,0.99
1987,4210111,1.184
1988,4262569,1.246
1989,4320164,1.351
1990,4378592,1.352
1991,4420373,0.954
1992,4450217,0.675
1993,4462766,0.282
1994,4472989,0.229
1995,4497660,0.552
1996,4534984,0.83
1997,4569297,0.757
1998,4606970,0.824
1999,4652462,0.987
2000,4704065,1.109
2001,4763615,1.266
2002,4817774,1.137
2003,4873809,1.163
2004,4927149,1.094
2005,4989246,1.26
2006,5061266,1.444
2007,5153522,1.823
2008,5256375,1.996
2009,5371934,2.198
2010,5461101,1.66
2011,5537817,1.405
2012,5651091,2.045
2013,5772669,2.151
2014,5894917,2.118
2015,6022322,2.161
2016,6173172,2.505
2017,6321606,2.405
2018,6462019,2.221
2019,6596880,2.087
2020,6696670,1.513
