Year,estimated population(June),growth rate p(%),volume used(ML),growth rate w(%)
1971,3601352,0.000,95141376,0.000
1972,3661254,1.663,86885324,-8.678
1973,3707653,1.267,84521203,-2.721
1974,3755726,1.297,119960328,41.929
1975,3787441,0.844,142502908,18.792
1976,3810426,0.607,157215716,10.325
1977,3837364,0.707,188912283,20.161
1978,3863759,0.688,192754598,2.034
1979,3886406,0.586,204791152,6.244
1980,3914303,0.718,182226955,-11.018
1981,3946917,0.833,199971795,9.738
1982,3992870,1.164,176923703,-11.526
1983,4035702,1.073,142258200,-19.593
1984,4076492,1.011,220678150,55.125
1985,4120068,1.069,277123515,25.578
1986,4160856,0.990,373068763,34.622
1987,4210111,1.184,448285678,20.162
1988,4262569,1.246,450046566,0.393
1989,4320164,1.351,495507334,10.101
1990,4378592,1.352,562080108,13.435
1991,4420373,0.954,583726065,3.851
1992,4450217,0.675,591996753,1.417
1993,4462766,0.282,574521435,-2.952
1994,4472989,0.229,556268301,-3.177
1995,4497660,0.552,547959747,-1.494
1996,4534984,0.830,594609539,8.513
1997,4569297,0.757,535802788,-9.890
1998,4606970,0.824,418674242,-21.860
1999,4652462,0.987,398661163,-4.780
2000,4704065,1.109,361818698,-9.242
2001,4763615,1.266,360044324,-0.490
2002,4817774,1.137,356644904,-0.944
2003,4873809,1.163,315858382,-11.436
2004,4927149,1.094,356475656,12.859
2005,4989246,1.260,376327614,5.569
2006,5061266,1.444,320940170,-14.718
2007,5153522,1.823,236766651,-26.227
2008,5256375,1.996,224653900,-5.116
2009,5371934,2.198,207825292,-7.491
2010,5461101,1.660,262083249,26.107
2011,5537817,1.405,382067630,45.781
2012,5651091,2.045,476171283,24.630
2013,5772669,2.151,500781061,5.168
2014,5894917,2.118,506958943,1.234
2015,6022322,2.161,474359556,-6.430
2016,6173172,2.505,432701291,-8.782
2017,6321606,2.405,439496672,1.570
2018,6462019,2.221,412721283,-6.092
2019,6596880,2.087,376717279,-8.724
2020,6696670,1.513,66584953,-82.325
