Year,EstimatedResidentPopulationInJune
1971,3601352
1972,3661254
1973,3707653
1974,3755726
1975,3787441
1976,3810426
1977,3837364
1978,3863759
1979,3886406
1980,3914303
1981,3946917
1982,3992870
1983,4035702
1984,4076492
1985,4120068
1986,4160856
1987,4210111
1988,4262569
1989,4320164
1990,4378592
1991,4420373
1992,4450217
1993,4462766
1994,4472989
1995,4497660
1996,4534984
1997,4569297
1998,4606970
1999,4652462
2000,4704065
2001,4763615
2002,4817774
2003,4873809
2004,4927149
2005,4989246
2006,5061266
2007,5153522
2008,5256375
2009,5371934
2010,5461101
2011,5537817
2012,5651091
2013,5772669
2014,5894917
2015,6022322
2016,6173172
2017,6321606
2018,6462019
2019,6596880
2020,6696670
